time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
2147483647	14.0319	5.11999	12.3752	-1.06394	0	radar	1358.92	19.4007	16.2962	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.1169	5.21813	12.4358	-1.06057	0	lidar	7131.88	19.0029	16.8387	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.1484	5.23449	12.581	-1.07585	0	radar	1511.68	18.8373	17.7112	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.2265	5.33379	12.6437	-1.07229	0	lidar	7377.05	18.6148	17.3832	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.2557	5.34899	12.6971	-1.07723	0	radar	1312.1	18.8177	17.0316	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.325	5.44648	12.7598	-1.07359	0	lidar	7212.28	18.1023	17.5529	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.3529	5.4615	12.8316	-1.08049	0	radar	1289.26	18.2749	17.4877	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.4217	5.56081	12.8958	-1.07675	0	lidar	7632.4	18.2094	18.0461	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.4488	5.57551	13.0054	-1.0877	0	radar	1281.11	18.3021	17.498	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.5118	5.67352	13.0695	-1.08391	0	lidar	7569.13	17.9018	18.2183	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.5404	5.6888	13.1539	-1.09199	0	radar	1430.29	18.8558	18.1364	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.596	5.78746	13.2197	-1.08801	0	lidar	7823.99	17.3845	18.7039	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.6214	5.80182	13.3177	-1.09744	0	radar	1254.99	17.7945	18.0801	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.6727	5.89955	13.3834	-1.09343	0	lidar	7836.52	17.1762	18.8863	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.699	5.91491	13.4677	-1.1012	0	radar	1426.66	16.9398	19.7311	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.7418	6.01097	13.5335	-1.0971	0	lidar	7766.81	16.5734	19.052	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.7668	6.02622	13.6287	-1.10588	0	radar	1418.78	16.1674	20.2201	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.8051	6.12393	13.6964	-1.1016	0	lidar	8243.49	16.2338	19.6171	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.8261	6.13698	13.7987	-1.11113	0	radar	1070.54	16.4366	18.2742	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.8599	6.23424	13.8667	-1.10678	0	lidar	8374.97	15.9243	19.8703	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.8818	6.24789	13.9387	-1.11308	0	radar	1172	16.2328	19.2166	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.9093	6.34486	14.0074	-1.10861	0	lidar	8584.07	15.4332	20.1836	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.9316	6.3598	14.0889	-1.11565	0	radar	1399.35	14.3677	21.3406	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.9558	6.4565	14.1579	-1.11112	0	lidar	8751.81	15.2016	20.4385	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.9753	6.46985	14.2452	-1.11875	0	radar	1146.75	14.7476	19.9571	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.993	6.56531	14.3141	-1.11414	0	lidar	8829.39	14.6665	20.6088	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	15.0126	6.57922	14.4055	-1.12202	0	radar	1261.81	13.841	21.0031	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	15.023	6.67213	14.4736	-1.11739	0	lidar	8711.06	14.0521	20.5924	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	15.0417	6.68565	14.5662	-1.1253	0	radar	1217.07	13.8232	20.859	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	15.0456	6.77714	14.6341	-1.1206	0	lidar	8813.73	13.4686	20.7253	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	15.063	6.79	14.7401	-1.12974	0	radar	1138.29	13.8263	20.4261	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	15.0628	6.88027	14.8076	-1.125	0	lidar	8873.88	13.1072	20.8294	2.60831e-038	2.60813e-038	0	3.92364e-044
